Player,From,To,Fee,Window,Club
Franco Umeh,Crystal Palace,Portsmouth,Undisclosed,Summer 2025,Crystal Palace
Naouirou Ahamada,Crystal Palace,Auxerre,Undisclosed,Summer 2025,Crystal Palace

Charly Alcaraz,Flamengo,Everton,£12.64m,Summer 2025,Everton
Thierno Barry,Villarreal,Everton,£27m,Summer 2025,Everton
Mark Travers,Bournemouth,Everton,£4m,Summer 2025,Everton
Adam Aznou,Bayern Munich,Everton,£10m,Summer 2025,Everton
Kiernan Dewsbury-Hall,Chelsea,Everton,£29m,Summer 2025,Everton
Tyler Dibling,Southampton,Everton,£35m,Summer 2025,Everton
Jack Grealish,Man City,Everton,Loan,January 2026,Everton

Benjamin Lecomte,Montpellier,Fulham,Free,Summer 2025,Fulham
Kevin,Shakhtar Donetsk,Fulham,£34.6m,Summer 2025,Fulham
Oscar Bobb,Man City,Fulham,£27m,January 2026,Fulham
Andreas Pereira,Fulham,Palmeiras,£8.7m,Summer 2025,Fulham
Carlos Vinícius,Fulham,Released,Released,Summer 2025,Fulham
Willian,Fulham,Released,Released,Summer 2025,Fulham
Luca Ashby-Hammond,Fulham,Released,Released,Summer 2025,Fulham
Callum Osmand,Fulham,Celtic,Released,Summer 2025,Fulham
Steven Benda,Fulham,Millwall,Loan,Summer 2025,Fulham
Harvey Araújo,Fulham,Colchester,Loan,Summer 2025,Fulham
Martial Godo,Fulham,Strasbourg,Undisclosed,Summer 2025,Fulham
Matt Dibley-Dias,Fulham,Chesterfield,Loan,Summer 2025,Fulham
Devan Tanton,Fulham,Chesterfield,Loan,Summer 2025,Fulham
Luke Harris,Fulham,Oxford United,Loan,Summer 2025,Fulham
Lemar Gordon,Fulham,Leyton Orient,Undisclosed,Summer 2025,Fulham

Anton Stach,Hoffenheim,Leeds,£17.4m,Summer 2025,Leeds
Sébastien Bornauw,Wolfsburg,Leeds,£5.1m,Summer 2025,Leeds
Lukas Nmecha,Wolfsburg,Leeds,Free,Summer 2025,Leeds
Jaka Bijol,Udinese,Leeds,£15m,Summer 2025,Leeds
Gabriel Gudmundsson,Lille,Leeds,£10m,Summer 2025,Leeds
Sean Longstaff,Newcastle,Leeds,£12m,Summer 2025,Leeds
Lucas Perri,Lyon,Leeds,£15.6m,Summer 2025,Leeds
Dominic Calvert-Lewin,Everton,Leeds,Free,Summer 2025,Leeds
Noah Okafor,AC Milan,Leeds,£18m,Summer 2025,Leeds
James Justin,Leicester,Leeds,£10m,Summer 2025,Leeds
Ilia Gruznovs,Liverpool,Leeds,£13m,January 2026,Leeds
Luca Vazquez,Inter Milan,Leeds,Loan,January 2026,Leeds

Miloš Kerkez,Bournemouth,Liverpool,£40m,Summer 2025,Liverpool
Florian Wirtz,Bayer Leverkusen,Liverpool,£116m,Summer 2025,Liverpool
Jeremie Frimpong,Bayer Leverkusen,Liverpool,£29.5m,Summer 2025,Liverpool
Giorgi Mamardashvili,Valencia,Liverpool,£29m,Summer 2025,Liverpool
Hugo Ekitike,Eintracht Frankfurt,Liverpool,£79m,Summer 2025,Liverpool
Giovanni Leoni,Parma,Liverpool,£26m,Summer 2025,Liverpool
Alexander Isak,Newcastle,Liverpool,£125m,Summer 2025,Liverpool
Darwin Núñez,Liverpool,Al Hilal,£56.6m,Summer 2025,Liverpool
Trent Alexander-Arnold,Liverpool,Real Madrid,£10m,Summer 2025,Liverpool
Caoimhín Kelleher,Liverpool,Brentford,£18m,Summer 2025,Liverpool
Darwin Núñez,Liverpool,Al-Hilal,£45.9m,Summer 2025,Liverpool
Luis Díaz,Liverpool,Bayern Munich,£65.6m,Summer 2025,Liverpool
Jarell Quansah,Liverpool,Bayer Leverkusen,£35m,Summer 2025,Liverpool
Tyler Morton,Liverpool,Lyon,£15m,Summer 2025,Liverpool
Nat Phillips,Liverpool,West Brom,£3m,Summer 2025,Liverpool
Ben Gannon-Doak,Liverpool,Bournemouth,£25m,Summer 2025,Liverpool

Rayan Aït-Nouri,Wolves,Man City,£36m,Summer 2025,Man City
Rayan Cherki,Lyon,Man City,£34m,Summer 2025,Man City
Marcus Bettinelli,Chelsea,Man City,Undisclosed,Summer 2025,Man City
Tijjani Reijnders,AC Milan,Man City,£46.3m,Summer 2025,Man City
Sverre Nypan,Rosenborg,Man City,£12.5m,Summer 2025,Man City
James Trafford,Burnley,Man City,£31m,Summer 2025,Man City
Gianluigi Donnarumma,PSG,Man City,£26m,Summer 2025,Man City
Antoine Semenyo,Bournemouth,Man City,£64m,January 2026,Man City
Marc Guehi,Crystal Palace,Man City,£20m,January 2026,Man City

Toby Collyer,West Brom,Man Utd,Loan,Summer 2025,Man Utd
Sonny Aljofree,Notts County,Man Utd,Loan,Summer 2025,Man Utd
Ethan Wheatley,Northampton,Man Utd,Loan,Summer 2025,Man Utd
Bryan Mbeumo,Brentford,Man Utd,£65m,Summer 2025,Man Utd
Matheus Cunha,Wolves,Man Utd,£62.5m,Summer 2025,Man Utd
Diego León,Cerro Porteño,Man Utd,£7m,Summer 2025,Man Utd
Benjamin Šeško,RB Leipzig,Man Utd,£73.7m,Summer 2025,Man Utd
Alejandro Garnacho,Man Utd,Chelsea,£40m,Summer 2025,Man Utd
Victor Lindelöf,Man Utd,Aston Villa,Free,Summer 2025,Man Utd

Seung-soo Park,Suwon Bluewings,Newcastle,Undisclosed,Summer 2025,Newcastle
Aaron Ramsdale,Southampton,Newcastle,Loan,Summer 2025,Newcastle
Malick Thiaw,AC Milan,Newcastle,£31.1m,Summer 2025,Newcastle
Jacob Ramsey,Aston Villa,Newcastle,£43m,Summer 2025,Newcastle
Nick Woltemade,Stuttgart,Newcastle,£73m,Summer 2025,Newcastle
Anthony Elanga,Nottingham Forest,Newcastle,£55m,Summer 2025,Newcastle
Jamaal Lascelles,Newcastle,Leicester,Free,January 2026,Newcastle
Lloyd Kelly,Newcastle,Juventus,£14.5m,Summer 2025,Newcastle
Sean Longstaff,Newcastle,Leeds,£12m,Summer 2025,Newcastle
Callum Wilson,Newcastle,West Ham,Free,Summer 2025,Newcastle

Igor Jesus,Botafogo,Nottingham Forest,£10m,Summer 2025,Nottingham Forest
Jair Cunha,Botafogo,Nottingham Forest,£10m,Summer 2025,Nottingham Forest
Dan Ndoye,Bologna,Nottingham Forest,£34.6m,Summer 2025,Nottingham Forest
Angus Gunn,Norwich,Nottingham Forest,Free,Summer 2025,Nottingham Forest
Omari Hutchinson,Ipswich,Nottingham Forest,£37.5m,Summer 2025,Nottingham Forest
James McAtee,Man City,Nottingham Forest,£30m,Summer 2025,Nottingham Forest
Arnaud Kalimuendo,Rennes,Nottingham Forest,£26m,Summer 2025,Nottingham Forest
Nicolo Savona,Juventus,Nottingham Forest,£13m,Summer 2025,Nottingham Forest
Cuiabano,Botafogo,Nottingham Forest,£5m,Summer 2025,Nottingham Forest
Dilane Bakwa,Strasbourg,Nottingham Forest,£30.2m,Summer 2025,Nottingham Forest
Oleksandr Zinchenko,Man City,Nottingham Forest,Loan,Summer 2025,Nottingham Forest
Lorenzo Lucca,Napoli,Nottingham Forest,Loan,January 2026,Nottingham Forest
Luca Netz,Borussia M'gladbach,Nottingham Forest,£1.1m,January 2026,Nottingham Forest
Jack Thompson,Nottingham Forest,Barrow,Loan,January 2026,Nottingham Forest
Danilo,Nottingham Forest,Botafogo,£21.7m,Summer 2025,Nottingham Forest

Enzo Le Fée,Roma,Sunderland,£19.35m,Summer 2025,Sunderland
Habib Diarra,Strasbourg,Sunderland,£27m,Summer 2025,Sunderland
Noah Sadiki,Union SG,Sunderland,£15m,Summer 2025,Sunderland
Reinildo,Atlético Madrid,Sunderland,Free,Summer 2025,Sunderland
Chemsdine Talbi,Club Brugge,Sunderland,£17.2m,Summer 2025,Sunderland
Simon Adingra,Brighton,Sunderland,£21m,Summer 2025,Sunderland
Nilson Angulo,Anderlecht,Sunderland,£17.5m,January 2026,Sunderland
Jocelin Tabi,Maccabi Netanya,Sunderland,Undisclosed,January 2026,Sunderland
Melker Ellborg,Malmö,Sunderland,£3.4m,January 2026,Sunderland

Kevin Dánso,Lens,Tottenham,£21m,Summer 2025,Tottenham
Luka Vuskovic,Westerlo,Tottenham,£9.3m,Summer 2025,Tottenham
Mathys Tel,Bayern Munich,Tottenham,£30m,Summer 2025,Tottenham
Kota Takai,Kawasaki,Tottenham,£5m,Summer 2025,Tottenham
Mohamed Kudus,West Ham,Tottenham,£55m,Summer 2025,Tottenham
João Palhinha,Bayern Munich,Tottenham,Loan,Summer 2025,Tottenham
Xavi Simons,Leipzig,Tottenham,£56.3m,Summer 2025,Tottenham
Douglas Luiz,Tottenham,Juve,Loan,January 2026,Tottenham
